,Logistic Regression, K Neighbours Classifier,Decision Tree Classifier,Gaussian NB,Random Forrest,MLPClassifier,AdaBoostClassifier,Support Vector Machine
Roc ,0.856226231372,0.898578788419,0.809256623307,0.857387966378,0.90787504647,0.883519742891,0.900299391093,0.92638527834
Sensitivity ,0.9514725568942436,0.928714859437751,0.8169344042838019,1.0,0.9066265060240963,0.9380856760374833,0.8848728246318608,0.7985274431057564
Specificity ,0.5953678474114441,0.7220708446866485,0.8055177111716622,0.5589237057220708,0.7571525885558583,0.6825613079019074,0.7404632152588556,0.8995231607629428
Unseen Roc ,0.773420202153,0.825392852062,0.811226057728,0.779461852861,0.83188954729,0.81032349197,0.812668019945,0.849025301934
